SystemCodeNumber,price,LastUpdatedDate,LastUpdatedTime,Occupancy,Capacity,Latitude,Longitude,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,time,diff,timestamp
BHMBCCMKT01,11.284575389948008,04-10-2016,07:59:00,61.0,577.0,26.14453614,91.73617216,car,low,1.0,0.0,1751906667252,1,2016-10-04 07:59:00
BHMBCCMKT01,11.288734835355283,04-10-2016,08:25:00,64.0,577.0,26.14453614,91.73617216,car,low,1.0,0.0,1751906667732,1,2016-10-04 08:25:00
BHMBCCMKT01,11.710918544194106,04-10-2016,08:59:00,80.0,577.0,26.14453614,91.73617216,car,low,2.0,0.0,1751906668232,1,2016-10-04 08:59:00
BHMBCCMKT01,11.74835355285962,04-10-2016,09:32:00,107.0,577.0,26.14453614,91.73617216,car,low,2.0,0.0,1751906668734,1,2016-10-04 09:32:00
BHMBCCMKT01,11.567972270363953,04-10-2016,09:59:00,150.0,577.0,26.14453614,91.73617216,bike,low,2.0,0.0,1751906669232,1,2016-10-04 09:59:00
BHMBCCMKT01,12.245407279029465,04-10-2016,10:26:00,177.0,577.0,26.14453614,91.73617216,car,low,3.0,0.0,1751906669734,1,2016-10-04 10:26:00
BHMBCCMKT01,13.663639514731369,04-10-2016,10:59:00,219.0,577.0,26.14453614,91.73617216,truck,high,6.0,0.0,1751906670232,1,2016-10-04 10:59:00
BHMBCCMKT01,13.022461005199306,04-10-2016,11:25:00,247.0,577.0,26.14453614,91.73617216,car,average,5.0,0.0,1751906670732,1,2016-10-04 11:25:00
BHMBCCMKT01,12.639098786828423,04-10-2016,11:59:00,259.0,577.0,26.14453614,91.73617216,cycle,average,5.0,0.0,1751906671234,1,2016-10-04 11:59:00
BHMBCCMKT01,13.888804159445408,04-10-2016,12:29:00,266.0,577.0,26.14453614,91.73617216,bike,high,8.0,0.0,1751906671732,1,2016-10-04 12:29:00
BHMBCCMKT01,13.732963604852683,04-10-2016,13:02:00,269.0,577.0,26.14453614,91.73617216,car,high,7.0,0.0,1751906672232,1,2016-10-04 13:02:00
BHMBCCMKT01,13.724644714038128,04-10-2016,13:29:00,263.0,577.0,26.14453614,91.73617216,car,high,7.0,0.0,1751906672732,1,2016-10-04 13:29:00
BHMBCCMKT01,12.889982668977469,04-10-2016,14:02:00,238.0,577.0,26.14453614,91.73617216,car,high,5.0,0.0,1751906673232,1,2016-10-04 14:02:00
BHMBCCMKT01,12.578093587521664,04-10-2016,14:29:00,215.0,577.0,26.14453614,91.73617216,truck,average,3.0,0.0,1751906673732,1,2016-10-04 14:29:00
BHMBCCMKT01,11.906204506065858,04-10-2016,14:57:00,192.0,577.0,26.14453614,91.73617216,bike,average,3.0,0.0,1751906674232,1,2016-10-04 14:57:00
BHMBCCMKT01,11.828769497400346,04-10-2016,15:30:00,165.0,577.0,26.14453614,91.73617216,car,low,2.0,0.0,1751906674732,1,2016-10-04 15:30:00
BHMBCCMKT01,11.184610051993069,04-10-2016,16:04:00,162.0,577.0,26.14453614,91.73617216,bike,low,1.0,0.0,1751906675232,1,2016-10-04 16:04:00
BHMBCCMKT01,11.678266897746967,04-10-2016,16:31:00,143.0,577.0,26.14453614,91.73617216,car,average,2.0,0.0,1751906675732,1,2016-10-04 16:31:00
BHMBCCMKT01,11.274870017331022,05-10-2016,07:57:00,54.0,577.0,26.14453614,91.73617216,car,low,1.0,0.0,1751906676234,1,2016-10-05 07:57:00
BHMBCCMKT01,11.161802426343154,05-10-2016,08:30:00,59.0,577.0,26.14453614,91.73617216,car,average,1.0,0.0,1751906676732,1,2016-10-05 08:30:00
BHMBCCMKT01,11.698440207972272,05-10-2016,09:04:00,71.0,577.0,26.14453614,91.73617216,car,low,2.0,0.0,1751906677232,1,2016-10-05 09:04:00
BHMBCCMKT01,11.595077989601386,05-10-2016,09:30:00,83.0,577.0,26.14453614,91.73617216,car,average,2.0,0.0,1751906677732,1,2016-10-05 09:30:00
BHMBCCMKT01,12.158058925476602,05-10-2016,10:04:00,114.0,577.0,26.14453614,91.73617216,car,low,3.0,0.0,1751906678232,1,2016-10-05 10:04:00
BHMBCCMKT01,12.737469670710572,05-10-2016,10:30:00,128.0,577.0,26.14453614,91.73617216,truck,high,4.0,0.0,1751906678732,1,2016-10-05 10:30:00
BHMBCCMKT01,12.2451993067591,05-10-2016,11:04:00,148.0,577.0,26.14453614,91.73617216,bike,average,4.0,0.0,1751906679232,1,2016-10-05 11:04:00
BHMBCCMKT01,12.504610051993067,05-10-2016,11:30:00,162.0,577.0,26.14453614,91.73617216,car,average,4.0,0.0,1751906679732,1,2016-10-05 11:30:00
BHMBCCMKT01,13.20679376083189,05-10-2016,12:04:00,178.0,577.0,26.14453614,91.73617216,car,high,6.0,0.0,1751906680232,1,2016-10-05 12:04:00
BHMBCCMKT01,13.61372616984402,05-10-2016,12:30:00,183.0,577.0,26.14453614,91.73617216,car,high,7.0,0.0,1751906680732,1,2016-10-05 12:30:00
BHMBCCMKT01,13.602634315424613,05-10-2016,12:57:00,175.0,577.0,26.14453614,91.73617216,car,high,7.0,0.0,1751906681232,1,2016-10-05 12:57:00
BHMBCCMKT01,13.608180242634315,05-10-2016,13:30:00,179.0,577.0,26.14453614,91.73617216,truck,high,6.0,0.0,1751906681732,1,2016-10-05 13:30:00
BHMBCCMKT01,12.521247833622184,05-10-2016,13:57:00,174.0,577.0,26.14453614,91.73617216,car,average,4.0,0.0,1751906682232,1,2016-10-05 13:57:00
BHMBCCMKT01,12.77906412478336,05-10-2016,14:30:00,158.0,577.0,26.14453614,91.73617216,car,high,5.0,0.0,1751906682732,1,2016-10-05 14:30:00
